Timestamp,SourceIP,DestinationIP,Protocol,Length
2024-06-04 21:04:24.175852,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.175852,104.18.32.115,130.231.7.192,TLS,702
2024-06-04 21:04:24.180219,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.180219,104.18.32.115,130.231.7.192,TLS,703
2024-06-04 21:04:24.204841,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.204841,104.18.32.115,130.231.7.192,TLS,742
2024-06-04 21:04:24.208181,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.208181,104.18.32.115,130.231.7.192,TLS,743
2024-06-04 21:04:24.228387,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.228387,104.18.32.115,130.231.7.192,TLS,742
2024-06-04 21:04:24.236285,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.236285,104.18.32.115,130.231.7.192,TLS,743
2024-06-04 21:04:24.251578,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.251578,104.18.32.115,130.231.7.192,TLS,747
2024-06-04 21:04:24.254348,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.254348,104.18.32.115,130.231.7.192,TLS,746
2024-06-04 21:04:24.286659,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.286659,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.286659,104.18.32.115,130.231.7.192,TLS,747
2024-06-04 21:04:24.286659,104.18.32.115,130.231.7.192,TLS,746
2024-06-04 21:04:24.291746,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.291746,104.18.32.115,130.231.7.192,TLS,746
2024-06-04 21:04:24.294184,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.294184,104.18.32.115,130.231.7.192,TLS,747
2024-06-04 21:04:24.315130,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.315130,104.18.32.115,130.231.7.192,TLS,746
2024-06-04 21:04:24.322701,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.322701,104.18.32.115,130.231.7.192,TLS,747
2024-06-04 21:04:24.351434,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.351434,104.18.32.115,130.231.7.192,TLS,746
2024-06-04 21:04:24.352138,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.352138,104.18.32.115,130.231.7.192,TLS,747
2024-06-04 21:04:24.357313,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.357313,104.18.32.115,130.231.7.192,TLS,730
2024-06-04 21:04:24.360794,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.360794,104.18.32.115,130.231.7.192,TLS,731
2024-06-04 21:04:24.387459,104.18.32.115,130.231.7.192,TLS,3804
2024-06-04 21:04:24.387459,104.18.32.115,130.231.7.192,TLS,422
2024-06-04 21:04:24.387459,104.18.32.115,130.231.7.192,TLS,1304
2024-06-04 21:04:24.387459,104.18.32.115,130.231.7.192,TLS,440
2024-06-04 21:04:24.390687,104.18.32.115,130.231.7.192,TLS,3804
2024-06-04 21:04:24.390687,104.18.32.115,130.231.7.192,TLS,422
2024-06-04 21:04:24.390687,104.18.32.115,130.231.7.192,TLS,1304
2024-06-04 21:04:24.390687,104.18.32.115,130.231.7.192,TLS,441
2024-06-04 21:04:24.410256,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.410256,104.18.32.115,130.231.7.192,TLS,786
2024-06-04 21:04:24.413932,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.413932,104.18.32.115,130.231.7.192,TLS,787
2024-06-04 21:04:24.429130,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.429130,104.18.32.115,130.231.7.192,TLS,786
2024-06-04 21:04:24.432431,104.18.32.115,130.231.7.192,TLS,3804
2024-06-04 21:04:24.432431,104.18.32.115,130.231.7.192,TLS,422
2024-06-04 21:04:24.432431,104.18.32.115,130.231.7.192,TLS,1304
2024-06-04 21:04:24.432431,104.18.32.115,130.231.7.192,TLS,441
2024-06-04 21:04:24.447072,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.447072,104.18.32.115,130.231.7.192,TLS,786
2024-06-04 21:04:24.450459,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.450459,104.18.32.115,130.231.7.192,TLS,787
2024-06-04 21:04:24.468766,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.468766,104.18.32.115,130.231.7.192,TLS,786
2024-06-04 21:04:24.471800,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.471800,104.18.32.115,130.231.7.192,TLS,787
2024-06-04 21:04:24.499108,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.499108,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.499108,104.18.32.115,130.231.7.192,TLS,786
2024-06-04 21:04:24.499108,104.18.32.115,130.231.7.192,TLS,787
2024-06-04 21:04:24.517100,104.18.32.115,130.231.7.192,TLS,5054
2024-06-04 21:04:24.517100,104.18.32.115,130.231.7.192,TLS,786
2024-06-04 21:04:24.519141,104.18.32.115,130.231.7.192,TLS,3804
